"商品コード","出荷実績確定日","出荷数","受注番号","出荷区分","出荷ID","届け先名"
"LGC-MN","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"LUX-MXC-DG","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"LUX-MXC-WT","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"LUX-RLC-DG","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-BK","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-BP","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-CG","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-CR","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-DG","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-FM","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-FN","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-GR","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-LG","2024/10/24","3","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MNC-OG","2024/10/24","3","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-BG","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-BP","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-CM","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-DG","2024/10/24","10","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-GR","2024/10/24","5","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-LG","2024/10/24","8","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-RD","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"MXC-RN","2024/10/24","3","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PDC-CB","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PDC-DP","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PDC-OG","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PDC-YL","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PMC-BG","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PMC-BK","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PMC-CB","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"PMC-FM","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"RLC-BL","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"RLC-CR","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"RLC-DG","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"RRLC-SS","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"RSC-PT","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SHC-BL","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SHC-CM","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SHC-MN","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SHC-RN","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-BG","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-BL","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-CB","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-CM","2024/10/24","5","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-DP","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-FN","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-OG","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-RD","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-YC","2024/10/24","4","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"SPC-YL","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"ZLGC-RY","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"DPC-CM","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"DPC-DG","2024/10/24","2","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"LGC-BK","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"LGC-RD","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"LGC-YL","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MNC-CB","2024/10/24","2","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MNC-LG","2024/10/24","5","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-BL","2024/10/24","5","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-BP","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-CB","2024/10/24","5","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-DG","2024/10/24","13","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-GR","2024/10/24","12","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-LG","2024/10/24","4","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-RD","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"PDC-BG","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"PDC-OG","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"PDC-TQ","2024/10/24","3","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"PDC-YL","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"PMC-CB","2024/10/24","2","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"PMC-CM","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"PMC-TQ","2024/10/24","3","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"RLC-BL","2024/10/24","2","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"RLC-TQ","2024/10/24","2","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"SHC-BK","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"SHC-GR","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"SPC-BL","2024/10/24","6","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"SPC-GR","2024/10/24","9","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"ZXC-RY","2024/10/24","1","9000013829(1)","工場","59940(559)","小島工業株式会社様"
"MXC-TQ","2024/10/24","1","9000013830(1)","工場","59940(559)","株式会社積水化成品沖縄様"
"ZPDC-PB","2024/10/24","1","9000013830(1)","工場","59940(559)","株式会社積水化成品沖縄様"
